Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
91	SRR661493_Thyroid	-0.0274909239969265	-0.0171304263895387	0.0286722989184982	0.00892578657268281	gtex	Thyroid	Thyroid	thyroid	Normal	0.313758854786276
92	SRR661711_Thyroid	-0.027656338022455	-0.0194645110890824	0.0325078018868037	0.00687844245765973	gtex	Thyroid	Thyroid	thyroid	Normal	1.25657184625762
93	SRR661794_Thyroid	-0.0276426846321837	-0.0187628093236463	0.0278955771387903	0.00337084790671765	gtex	Thyroid	Thyroid	thyroid	Normal	1.0970278836346
94	SRR663149_Thyroid	-0.0276469005771407	-0.0196239325385837	0.0322002701445411	0.00164804186000038	gtex	Thyroid	Thyroid	thyroid	Normal	1.5713302976065
95	SRR662510_Thyroid	-0.0274877735822898	-0.0211646496021237	0.0342059069758395	-0.00316149413973208	gtex	Thyroid	Thyroid	thyroid	Normal	2.01697063829042
96	SRR663795_Thyroid	-0.0276439617986659	-0.0169470592802048	0.0286534445118013	0.00287547071579383	gtex	Thyroid	Thyroid	thyroid	Normal	1.21116957625561
97	SRR807751_Colon_Transverse	-0.027102279438737	0.00451657038245232	-0.0466791712879441	-0.0217921287771724	gtex	Colon_Transverse	Colon	colon	Normal	1.45878921867453
98	SRR807799_Thyroid	-0.0276732046108602	-0.0197800555849162	0.0316622009351172	0.00262716469035281	gtex	Thyroid	Thyroid	thyroid	Normal	1.71108147206279
99	SRR807971_Liver	-0.0259850770771205	0.0604549105745082	0.0107838458164599	0.028917432981332	gtex	Liver	Liver	liver	Normal	0.869049588232877
100	SRR807995_Liver	-0.0255879127978161	0.0543689663353481	0.00839521411352227	0.0336289999306819	gtex	Liver	Liver	liver	Normal	0.606835672038064
101	SRR808638_Colon_Transverse	-0.0274771775005058	-0.00904657748948932	-0.04384428184611	0.00460730900296169	gtex	Colon_Transverse	Colon	colon	Normal	1.02434107476391
102	SRR808658_Thyroid	-0.0276892299206643	-0.0167987480153478	0.0322188173996405	0.00526508576381514	gtex	Thyroid	Thyroid	thyroid	Normal	1.7723964719273
103	SRR808886_Thyroid	-0.0276035577569468	-0.0154122994294922	0.0293651841118805	0.0120535922503007	gtex	Thyroid	Thyroid	thyroid	Normal	1.34298684912926
104	SRR809043_Thyroid	-0.027680813584443	-0.0189922268255163	0.0208851504067156	0.0169837242478704	gtex	Thyroid	Thyroid	thyroid	Normal	1.46337994314956
105	SRR809503_Thyroid	-0.0275164317859399	-0.0203583530458887	0.0331949875698395	-0.000668827626248985	gtex	Thyroid	Thyroid	thyroid	Normal	1.86241923920231
106	SRR809565_Colon_Transverse	-0.027391085719203	0.000143405360020934	-0.042569927755384	-0.0134413304971022	gtex	Colon_Transverse	Colon	colon	Normal	1.79715514397724
107	SRR809943_Kidney_Cortex	-0.0263924873322041	0.0157144019077597	0.0139281850192793	-0.0365984524460849	gtex	Kidney_Cortex	Kidney	kidney	Normal	0.707668702383454
108	SRR810007_Kidney_Cortex	-0.0270319113468546	0.0154750492838461	0.00911542116664153	-0.0353404605921417	gtex	Kidney_Cortex	Kidney	kidney	Normal	1.43196674321654
109	SRR810153_Colon_Transverse	-0.0273151768583026	-0.000273081626020829	-0.0484242469704999	-0.0153030957769628	gtex	Colon_Transverse	Colon	colon	Normal	1.48700909772693
110	SRR810343_Thyroid	-0.0277400931693568	-0.0172851136635243	0.0259871497870068	0.00642219657073764	gtex	Thyroid	Thyroid	thyroid	Normal	1.94505481286153
111	SRR810805_Thyroid	-0.0277583299778967	-0.0188369590448829	0.0299501485583951	0.00368095651345671	gtex	Thyroid	Thyroid	thyroid	Normal	2.0026855360965
112	SRR812270_Thyroid	-0.0277477560033394	-0.0184104782025674	0.0276576764686359	0.00454183664555829	gtex	Thyroid	Thyroid	thyroid	Normal	1.93430045410474
113	SRR812697_Colon_Transverse	-0.0273217329040774	-0.00144892482350311	-0.0483385658933892	-0.0156250995422342	gtex	Colon_Transverse	Colon	colon	Normal	1.67740103895455
114	SRR812721_Colon_Transverse	-0.0274113497131775	-0.00101054725889667	-0.0473474229196362	-0.0111987829250483	gtex	Colon_Transverse	Colon	colon	Normal	1.60236944509538
115	SRR813108_Prostate	-0.0272043479845988	-0.0165338694119074	-0.00698474811992483	0.0257141917983958	gtex	Prostate	Prostate	prostate	Normal	1.43316313658069
116	SRR813529_Colon_Transverse	-0.0275050846736048	-0.00709794525948871	-0.0447066021759891	-0.00569195145032698	gtex	Colon_Transverse	Colon	colon	Normal	1.95137430029939
117	SRR813848_Thyroid	-0.0272680102928446	-0.0138350942511277	0.0100852729906723	0.0134439960137578	gtex	Thyroid	Thyroid	thyroid	Normal	1.01512480162592
118	SRR814108_Colon_Transverse	-0.0275278675898284	-0.00985380442922249	-0.0412749402467027	0.0027202829378097	gtex	Colon_Transverse	Colon	colon	Normal	1.54493095243435
119	SRR814919_Thyroid	-0.0277432719992542	-0.0195488680762617	0.0311610296432365	0.000708997366155244	gtex	Thyroid	Thyroid	thyroid	Normal	1.51180928643895
120	SRR815140_Liver	-0.0258913164241367	0.058065374420723	0.011374769062888	0.0316343085586549	gtex	Liver	Liver	liver	Normal	0.785248970287572
121	SRR815280_Prostate	-0.0272452508052466	-0.00927384339918184	-0.00712087532019759	0.00343746198489525	gtex	Prostate	Prostate	prostate	Normal	1.7902954957539
122	SRR815542_Prostate	-0.0274721647853571	-0.0118880242301845	-0.00652848699008102	0.00919850787251402	gtex	Prostate	Prostate	prostate	Normal	1.78362032532433
123	SRR815711_Liver	-0.0257955436614251	0.0632183020347635	0.00880797225600225	0.0274932292041595	gtex	Liver	Liver	liver	Normal	0.926254999115038
124	SRR815845_Prostate	-0.0273534560906249	-0.0153533765717578	-0.0130798741008979	0.00956531405263812	gtex	Prostate	Prostate	prostate	Normal	1.49215424828587
125	SRR816096_Colon_Transverse	-0.0276387933548384	-0.0159663900645576	-0.0298215836358283	0.0220574674189454	gtex	Colon_Transverse	Colon	colon	Normal	1.71792986846635
126	SRR816794_Colon_Transverse	-0.0269657407892479	0.00744862510638628	-0.046026880239513	-0.0235945925511819	gtex	Colon_Transverse	Colon	colon	Normal	1.37862944968562
127	SRR816818_Prostate	-0.0274767574013076	-0.0162798317643856	-0.0144894329293019	0.0177226803178226	gtex	Prostate	Prostate	prostate	Normal	1.33850472262439
128	SRR816892_Thyroid	-0.0277526014155593	-0.019546989609362	0.0252365777007468	0.00925287485322919	gtex	Thyroid	Thyroid	thyroid	Normal	1.21101344360405
129	SRR816969_Prostate	-0.0273932522582306	-0.0145686924190974	-0.00901583646839155	0.0070989520923075	gtex	Prostate	Prostate	prostate	Normal	1.4267779170007
130	SRR818523_Colon_Transverse	-0.0273302037139425	-0.00153782207340752	-0.0486623782866612	-0.0127471139535915	gtex	Colon_Transverse	Colon	colon	Normal	1.56982861015476
131	SRR818749_Thyroid	-0.0277723993955759	-0.0189867624050092	0.0278867566412141	0.00612359066824936	gtex	Thyroid	Thyroid	thyroid	Normal	1.79253889591743
132	SRR819486_Colon_Transverse	-0.0271669914344304	0.00217047807347195	-0.0492329075657587	-0.0181533656256086	gtex	Colon_Transverse	Colon	colon	Normal	1.52543121144772
133	SRR819690_Thyroid	-0.0276903602818196	-0.018909896874276	0.0306174035797419	0.00583730858981705	gtex	Thyroid	Thyroid	thyroid	Normal	1.29375326223144
134	SRR819867_Thyroid	-0.0277058309847296	-0.0209427986121148	0.0276845454384341	0.00999343051444763	gtex	Thyroid	Thyroid	thyroid	Normal	1.38662045736221
135	SRR820186_Thyroid	-0.027661023055293	-0.0204751780083945	0.0313741405243414	0.00705314826570041	gtex	Thyroid	Thyroid	thyroid	Normal	1.50603155586467
136	SRR820234_Prostate	-0.0274389355984158	-0.0149369143799446	-0.0108662292710246	0.0283878940768618	gtex	Prostate	Prostate	prostate	Normal	1.57813732935724
137	SRR821043_Liver	-0.0268362466918195	0.0356554932683894	-0.00033956367707514	0.0160724740763761	gtex	Liver	Liver	liver	Normal	1.85056824500644
138	SRR821148_Thyroid	-0.0274923139154618	-0.0192076408059978	0.035254134694416	-0.00458859773742239	gtex	Thyroid	Thyroid	thyroid	Normal	2.50764595756794
139	SRR821176_Thyroid	-0.0277000590803223	-0.0202349070098235	0.0267766497663736	0.00424467826844977	gtex	Thyroid	Thyroid	thyroid	Normal	1.71798166378071
140	SRR821207_Thyroid	-0.0277158365566995	-0.0197538769917329	0.0327426454880469	0.00388994933765326	gtex	Thyroid	Thyroid	thyroid	Normal	1.54580062395742
141	SRR821356_Kidney_Cortex	-0.027251257721942	0.00829188293529618	0.00527184664640427	-0.0155223937093397	gtex	Kidney_Cortex	Kidney	kidney	Normal	0.78213632483293
142	SRR1069141_Liver	-0.0258608361191663	0.0548391109335464	0.00573292192781825	0.0246729377062759	gtex	Liver	Liver	liver	Normal	0.724813297227416
143	SRR1069209_Prostate	-0.0272937045152258	-0.0150765445276816	-0.00857180797695956	0.00884293267170082	gtex	Prostate	Prostate	prostate	Normal	1.44724751596849
144	SRR1069279_Thyroid	-0.0276374747508363	-0.0203195704940341	0.0304978449994717	0.0131686997008025	gtex	Thyroid	Thyroid	thyroid	Normal	1.03191706703854
145	SRR1069514_Prostate	-0.0273735362093387	-0.0152716626207432	-0.010507471035814	0.0098790298677043	gtex	Prostate	Prostate	prostate	Normal	1.1147100545466
146	SRR1069850_Colon_Transverse	-0.0273835248966342	-0.00596950700428988	-0.0488786073038373	-0.00273512015194058	gtex	Colon_Transverse	Colon	colon	Normal	0.847424793790781
147	SRR1069943_Colon_Sigmoid	-0.0270727613624772	0.00263623325768827	-0.04263556570369	-0.0231571779785965	gtex	Colon_Sigmoid	Colon	colon	Normal	2.40359217635108
148	SRR1069991_Colon_Transverse	-0.0271378362494823	0.00402071247394959	-0.0474703617539239	-0.0176930361859661	gtex	Colon_Transverse	Colon	colon	Normal	0.811739855961484
149	SRR1070689_Liver	-0.0252257198774962	0.0644970558537421	0.0128129868503281	0.0365220952759077	gtex	Liver	Liver	liver	Normal	0.436332753044829
150	SRR1070863_Thyroid	-0.0275995519366867	-0.018871747269583	0.0328176259972719	0.0086940887543482	gtex	Thyroid	Thyroid	thyroid	Normal	0.898529348621088
151	SRR1070960_Thyroid	-0.0275504067296899	-0.0196239515586314	0.0289496468114236	0.00807796293918723	gtex	Thyroid	Thyroid	thyroid	Normal	0.900249349424198
152	SRR1071668_Liver	-0.0255359697186355	0.0660092378649395	0.0106715210983694	0.0265107828869499	gtex	Liver	Liver	liver	Normal	0.607359538709696
153	SRR1071807_Kidney_Cortex	-0.0266350393715944	0.0150769976648738	0.0147170893698101	-0.0271144999600646	gtex	Kidney_Cortex	Kidney	kidney	Normal	0.694871767178832
154	SRR1072578_Colon_Transverse	-0.027415827871729	-0.0031603887074975	-0.0486249252297672	-0.00655169364734614	gtex	Colon_Transverse	Colon	colon	Normal	0.866090431807526
155	SRR1073069_Prostate	-0.027292814292076	-0.0150550370025575	-0.00997794316778227	0.008127374792264	gtex	Prostate	Prostate	prostate	Normal	0.834745709722945
156	SRR1073217_Colon_Transverse	-0.0270734447462375	0.00650275155088143	-0.0438662474996408	-0.0247250064802932	gtex	Colon_Transverse	Colon	colon	Normal	1.76456920767178
157	SRR1073267_Thyroid	-0.027803846688664	-0.0176818602011356	0.0241684523660542	0.00710511316300298	gtex	Thyroid	Thyroid	thyroid	Normal	1.27584194828829
158	SRR1073341_Thyroid	-0.0275395427979448	-0.0187451852036342	0.0345528259839277	0.00580095244142255	gtex	Thyroid	Thyroid	thyroid	Normal	0.859382438765401
